"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A0A090I4G9",65.2470242562135,-3.92555359061695,0.556273487916799,-7.05687701443015,1.70286207849981e-12,1.28906659342435e-09
"A0A090I5F3",29.3572081834762,4.2723090677785,1.25663551780375,3.39979970902407,0.000674352304218016,0.255242347146519
"A0A090I3G7",58.5727999384302,1.30956479957292,0.433800306579778,3.0188194422866,0.00253761719070794,0.623291672642705
"A0A090I514",11.7185572066018,-2.73107376690161,0.929275116507105,-2.93892919156921,0.00329348307869329,0.623291672642705
"A0A090IAH6",215.249862527482,0.343140728552294,0.414997707635845,0.826849696368433,0.408322258270753,0.988190547661253
"A0A090I8L6",51.7536823654726,0.926316654397181,0.421175728321695,2.19935906109399,0.0278524011931422,0.988190547661253
"A0A090I2R3",24.5850010983322,-1.92427629204466,0.776014784147879,-2.47969024734194,0.0131496559947067,0.988190547661253
"A0A090I2M3",64.0047515835675,0.610030909640492,0.43459344606513,1.40368179769805,0.160413625107377,0.988190547661253
"A0A090I2T3",382.076667832481,0.073893066250305,0.44359329827521,0.166578409857899,0.867701782756444,0.988190547661253
"A0A090I3A9",51.7079665010098,0.278900019632129,0.46685984901013,0.597395600036013,0.550243290667201,0.988190547661253
"A0A090I573",220.287787208813,0.499206671606697,0.404058149545614,1.23548224969125,0.216651078591925,0.988190547661253
"A0A090I7W3",130.227422941388,0.405418788126122,0.457374782468105,0.886403893844745,0.375399921706427,0.988190547661253
"A0A090I2R9",62.1237480299362,0.906660359971587,0.514568043144948,1.76198341900566,0.078072098990621,0.988190547661253
"A0A090I2G6",102.57733794885,1.01369827997188,0.390428998829683,2.59637035929825,0.00942144515197452,0.988190547661253
"A0A090I7T4",37.473312612114,0.863132883919505,0.502045674721224,1.71923178981431,0.0855721744706778,0.988190547661253
"A0A090I3J2",54.5989213765755,0.425210745234506,0.843009098687964,0.504396388955104,0.613982855088738,0.988190547661253
"A0A090I3T1",32.271096096323,1.07507311868011,0.603723612768044,1.78073723794064,0.0749553867567413,0.988190547661253
"A0A090I4W3",29.083441040266,0.124423852284823,0.517156675239976,0.240592180748874,0.809871211057722,0.988190547661253
"A0A090I9A6",34.7466421712392,0.204414944160071,0.541731019996125,0.377336605464337,0.705923472058888,0.988190547661253
"A0A0S4FR78",48.5583600067525,-0.570717180901315,1.11225806094814,-0.513115796539887,0.607870322314685,0.988190547661253
"A0A089ZDH4",38.1786371641608,-0.331898087244041,0.521804196423335,-0.636058677793338,0.524738177393509,0.988190547661253
"A0A090I7U6",26.1775163855503,0.524051846451787,0.503813454786998,1.04017040726581,0.298260737482474,0.988190547661253
"A0A090IA40",100.254384199912,0.688620338857343,0.475674243893529,1.44767211531318,0.147708772018427,0.988190547661253
"A0A090I5H3",22.3087148449635,0.19525148039876,0.650020856637424,0.300377254675798,0.763889411238815,0.988190547661253
"A0A090JVC3",79.6283437365406,0.953647522542263,0.605448247441669,1.57510989018783,0.1152310815583,0.988190547661253
"A0A090I2L6",17.334248191203,0.366295948255528,0.583425413320752,0.627836806371936,0.530110851904088,0.988190547661253
"A0A090I6W9",21.3624259274891,-1.70191717713823,0.906310159769493,-1.87785291689888,0.0604012888730588,0.988190547661253
"A0A090JTE7",11.7056721575351,-0.679455341654654,0.780010005002995,-0.87108541851594,0.383707515175342,0.988190547661253
"A0A090I1H9",15.6143737481881,-1.55936698175029,0.722400553332543,-2.15859051402535,0.0308819493395818,0.988190547661253
"A0A090I8V8",21.2592773004151,-0.427041233423641,0.677595754470213,-0.630230090147964,0.528544054992893,0.988190547661253
"A0A089ZIP7",13.0915189140674,-0.121243650652037,0.661383348198271,-0.183318269173735,0.854548300564735,0.988190547661253
"A0A090I5T3",17.0976671041184,0.257655420768198,0.591135547877467,0.435865211783214,0.662934526659523,0.988190547661253
"A0A090I281",20.7529328725156,0.08387546952918,0.550984077525511,0.152228481639375,0.879006730644923,0.988190547661253
"A0A090I842",23.6968510135701,-0.309017804981041,0.542005023260824,-0.570138267578998,0.568583921992829,0.988190547661253
"A0A090I2P0",15.4663039947336,0.299666217914495,0.695182318701704,0.431061334347716,0.66642377400559,0.988190547661253
"A0A090I7L2",10.007417980178,-0.136635040207294,0.727553214362727,-0.187800751216492,0.851032846860644,0.988190547661253
"A0A090I5H7",29.9172986868272,0.0960600476621032,0.635177730260308,0.15123333688468,0.879791653690066,0.988190547661253
"A0A090JUK8",10.9570643870721,-0.51544156676751,0.693445177224775,-0.743305431628135,0.457296783855901,0.988190547661253
"A0A089ZBS9",19.2200695090931,-0.811324272469918,0.6758110028903,-1.20051947807901,0.229937652524864,0.988190547661253
"A0A089ZVL0",14.3178188969339,0.109411103727063,0.663573817448207,0.164881586419136,0.869037185934409,0.988190547661253
"A0A090I210",20.519360328648,-0.432983575461762,1.06042891471408,-0.408309854110782,0.683046205667169,0.988190547661253
"A0A089ZHH5",5.96827630009154,0.407147488097372,1.8233065313256,0.223301721955311,0.823300687174263,0.988190547661253
"A0A089ZEV2",18.5015615197936,-0.205316058667662,0.580396135895025,-0.353751594763885,0.723525052453794,0.988190547661253
"A0A090I2C6",8.75500129512344,0.318486226959978,0.817435428649975,0.389616373107255,0.696820243108312,0.988190547661253
"A0A090I2W9",22.8718428672254,-0.516415326000117,0.657478271803424,-0.785448505520374,0.432190650891186,0.988190547661253
"A0A089ZUL5",9.85717393250667,1.53025879024527,1.28465003666081,1.19118728570069,0.233580069703426,0.988190547661253
"A0A090IB20",14.0972723051267,-0.371182295974675,0.686555014752085,-0.540644650463604,0.588752535664864,0.988190547661253
"A0A089ZGQ5",7.63513243731067,-0.539479218664814,1.26152227921936,-0.427641451563302,0.668912182177063,0.988190547661253
"A0A090I5U4",8.93015699992378,-1.54664840217475,0.97814088212998,-1.58121230840163,0.113829502004031,0.988190547661253
"A0A090I613",22.4002709067577,-0.0955845452319519,0.63859495720749,-0.149679455111787,0.881017518001193,0.988190547661253
"A0A090I4G3",6.60916552054975,-0.524301257246987,1.11505640620027,-0.470201556021393,0.638211022556027,0.988190547661253
"A0A090I4Q7",6.18376074163393,-0.81176988694281,1.11108240906638,-0.730611771295093,0.465016319961106,0.988190547661253
"A0A090JWH2",7.10071005901535,-0.291459613776809,0.887662982058634,-0.328344900787534,0.742650898340824,0.988190547661253
"A0A089ZUT3",8.77276184130824,-2.26086928457526,1.00884437529984,-2.24104860960671,0.0250229264807129,0.988190547661253
"A0A090I5W3",9.29508086615903,-1.72109759921593,0.941402041877029,-1.82822802867974,0.0675153361161833,0.988190547661253
"A0A090I1P7",7.78094751510663,-0.141804947066163,0.830739905317886,-0.170697165452647,0.864461891758808,0.988190547661253
"A0A090JTE0",12.7944343430938,-0.117976157316924,0.670256135304962,-0.176016527268708,0.86028095827753,0.988190547661253
"A0A089ZAX5",15.4769486903755,0.0868306768391119,0.668219953685149,0.12994325649848,0.896611320660294,0.988190547661253
"A0A090I2I6",6.68628572127657,0.737046840075093,1.1868530255806,0.621009361891744,0.534593463449989,0.988190547661253
"A0A090I219",10.6361903900639,-0.836375901556367,0.794947299290274,-1.05211490409878,0.292746834945944,0.988190547661253
"A0A090I9S3",10.8214261994869,-1.37909952365525,1.750743938555,-0.787722003934801,0.430859331890505,0.988190547661253
"A0A089ZAI4",18.5057330988149,0.928237885505796,0.736703459493049,1.25998849814625,0.207673511478146,0.988190547661253
"A0A090I3H2",7.57096199194134,1.18569557917012,1.1285628162887,1.05062435343147,0.293431151435749,0.988190547661253
"A0A090I9D3",7.85034365046844,-0.0606415663526147,0.789397681680745,-0.0768200461692511,0.938766703323693,0.988190547661253
"A0A090I305",19.5812428511047,0.246012251401822,0.633971146623031,0.388049602434201,0.697979326622939,0.988190547661253
"A0A089ZG02",13.189654426494,0.173142763031673,0.648416597681745,0.26702395288878,0.78945071873605,0.988190547661253
"A0A089Z979",10.0294840203588,-0.942687394013625,0.797116495085953,-1.18262186245685,0.236959044027153,0.988190547661253
"A0A090I3J1",5.48912100163382,-0.15958037600592,1.0771393661467,-0.148152022868492,0.882222794086109,0.988190547661253
"A0A090I0N7",7.83104779817934,-0.14071617738928,0.793972569424156,-0.177230527612984,0.859327317642303,0.988190547661253
"A0A090I6I2",9.91491479971339,0.252392252624085,0.746326095182589,0.3381795896636,0.735227855794259,0.988190547661253
"A0A090I6Q2",17.6414926737574,0.582162585259821,0.581289703207889,1.00150162999123,0.316584352486836,0.988190547661253
"A0A090I3H9",10.0774724571475,0.40468528407862,0.709122334299172,0.570684724630161,0.56821337520595,0.988190547661253
"A0A089ZI64",7.72029911871128,0.600288133584996,0.784067746362528,0.765607482733312,0.443909890794142,0.988190547661253
"A0A090JXJ6",9.34836798063671,0.0884764738752718,0.717884428092195,0.123246124881691,0.901912201582415,0.988190547661253
"A0A090I8M3",6.48071477983464,0.339812673157784,0.924214646219162,0.367677221463555,0.713113927238372,0.988190547661253
"A0A089ZGF9",9.10090856428485,-0.358143004881359,0.812343336033528,-0.440876399171418,0.659302480349564,0.988190547661253
"A0A090JVW9",4.67560502316861,-1.5413090928229,1.25148095753027,-1.23158813048549,0.21810297702385,0.988190547661253
"A0A089ZUS9",8.66959944645617,-0.447172648356929,0.808805091069917,-0.552880605345093,0.580345168816163,0.988190547661253
"A0A090I5S8",6.09983795018379,0.163130182372183,1.24143131773825,0.131404919500008,0.895454997211781,0.988190547661253
"A0A090I151",19.5095842641421,-0.461148494361213,1.02196866722856,-0.451235452855698,0.651819860255457,0.988190547661253
"A0A090I781",12.1919322623822,1.19744623217961,0.73769101047589,1.62323549450214,0.104539072890357,0.988190547661253
"A0A090I1I9",12.2750509432695,-0.465368268651281,1.03458174627403,-0.449812951298698,0.652845318451664,0.988190547661253
"A0A089ZCU1",7.5197068460148,-0.0436919149822861,0.790241474324132,-0.0552893215578875,0.955907969316778,0.988190547661253
"A0A090I345",9.28515057499883,-0.27278684714674,0.798947152616876,-0.341432904858916,0.732777707255051,0.988190547661253
"A0A090I579",4.78416636303943,-1.46700857057109,1.15130038737961,-1.27421877613543,0.202585892736735,0.988190547661253
"A0A090I3S6",8.8034785934348,-1.2125039509679,0.974782921725018,-1.2438707366992,0.213547141023818,0.988190547661253
"A0A090I170",10.901511165152,-0.095376198907748,0.733761457415303,-0.129982568509,0.89658021799391,0.988190547661253
"A0A090I192",3.37517561046254,-2.36632912222588,1.40610757354049,-1.68289337654843,0.0923957340329215,0.988190547661253
"A0A089ZGG4",7.74121114723769,-0.430238117819434,0.787104009247274,-0.546608977676128,0.584647399935753,0.988190547661253
"A0A090I2K4",2.34438465247279,-2.23575872206282,1.80502749168134,-1.23862862608273,0.215483061840051,0.988190547661253
"A0A090JW64",10.4501463424463,0.0644746433936858,0.773122562461496,0.0833951129150973,0.933537374306131,0.988190547661253
"A0A090I471",5.92248557467816,0.279190857405747,0.937261796497828,0.297879267509858,0.765795312169518,0.988190547661253
"A0A090JXT2",6.51502189024063,-0.613708364895754,0.876892432544176,-0.699867329354375,0.484010162155196,0.988190547661253
"A0A089ZCR8",7.34371032997956,-0.178096500258014,0.848156338035211,-0.209980745614165,0.833682700800855,0.988190547661253
"A0A090I7T8",8.93637587360924,-1.08045086063072,0.797583840157457,-1.35465490426364,0.175527531891172,0.988190547661253
"A0A090JV64",8.9859633895978,0.139746135781827,0.745401690834592,0.187477621127153,0.851286168353952,0.988190547661253
"A0A090JTX8",7.16393459641061,-0.304564779220931,0.829979831589794,-0.366954433865638,0.713653007015829,0.988190547661253
"A0A089ZGM2",2.57848778800466,-4.4583068465406,2.79513302849359,-1.59502492407074,0.110706662357058,0.988190547661253
"A0A090I4T3",2.70444777680713,-4.53654364788587,1.87702871189457,-2.41687493597631,0.0156543947191425,0.988190547661253
"A0A090I433",4.21851581714211,-0.287473555091897,1.2100168297178,-0.237578146048547,0.812208302180124,0.988190547661253
"A0A090I3Y0",4.44508344277421,-0.830533659180059,1.67552870227485,-0.495684531128861,0.620117002584901,0.988190547661253
"A0A0S4FLI0",6.49211263245968,-0.104933254392096,1.71951316475537,-0.0610249787805631,0.951339315934575,0.988190547661253
"A0A090I3U3",3.18300454579836,-1.62843604856146,1.38232942041536,-1.17803761137642,0.238781612215335,0.988190547661253
"A0A090JY31",4.17613622565097,-0.50297358211403,1.21852675425134,-0.412771882405698,0.679773753858157,0.988190547661253
"A0A0S4FRT9",9.92252543061178,0.563962454913545,1.73983655005791,0.324146802695215,0.745826894712161,0.988190547661253
"A0A089ZHM6",3.84200129504045,-0.122340944583585,1.30218816845584,-0.0939502811860592,0.925148651828772,0.988190547661253
"A0A090JTT4",7.41167411917715,1.02859531535134,0.798313116605228,1.28846099851819,0.197585536894197,0.988190547661253
"A0A090I796",5.10758440926053,-0.328259685457992,0.976369310779567,-0.33620442780601,0.736716714156016,0.988190547661253
"A0A090I166",6.9500656446831,0.389950049240688,0.968756712766036,0.402526293858946,0.687296741396404,0.988190547661253
"A0A090JUQ9",4.00539295518539,-0.933508759696471,1.23154873393691,-0.75799579340422,0.448453501027714,0.988190547661253
"A0A090IAD3",4.29064438525539,-0.719813057093407,1.17692625455949,-0.61160421420187,0.5407996492173,0.988190547661253
"A0A089ZAG5",6.53703369516015,-0.190008546187714,0.881599760578298,-0.215526993862924,0.829356468490357,0.988190547661253
"A0A090I180",8.51910837753785,-0.54569386188671,0.789375115102072,-0.69129853658504,0.489377951282151,0.988190547661253
"A0A089ZJ55",7.81237973333275,0.358955406896969,0.793082624765379,0.452607831375905,0.650831158564485,0.988190547661253
"A0A089ZCQ3",6.05724520113753,0.200971555284567,1.26478952446898,0.158897232619748,0.873749841045124,0.988190547661253
"A0A090I246",5.42912050556208,-0.66880264773,0.981058881161955,-0.68171509434569,0.4954191210471,0.988190547661253
"A0A089ZH50",1.25461422421485,-2.03850115440398,3.52992567028979,-0.577491240555393,0.563607654212409,0.988190547661253
"A0A089ZER7",8.61418277889026,-0.295639945810931,0.800049856788981,-0.369526902982633,0.711735024237074,0.988190547661253
"A0A090I599",3.83158014598734,-0.530258458911769,1.23214910882955,-0.430352507754094,0.666939236900582,0.988190547661253
"A0A090I2T7",6.10638396457017,0.974823208524469,0.913055849656138,1.06764904785572,0.285678850100806,0.988190547661253
"A0A090I424",9.96030971193131,-1.15855777585747,0.787601457080457,-1.47099496254375,0.141292479197761,0.988190547661253
"A0A090I4Y4",9.24405244258529,0.169358781921166,0.786599713439796,0.21530491179632,0.829529600369623,0.988190547661253
"A0A089ZVL1",5.35024081797011,-0.9276790540066,1.21693618721031,-0.762307065691919,0.445876757823986,0.988190547661253
"A0A090I428",6.80546287429704,-1.70281339212368,1.07829097625775,-1.57917800446903,0.114295233617189,0.988190547661253
"A0A090JW72",7.05791380675534,-0.75474949260573,0.834702501142705,-0.90421376666834,0.365882061734586,0.988190547661253
"A0A090JWN0",19.0322011799459,-0.510483334259126,1.53276972798018,-0.33304633105706,0.739099310413358,0.988190547661253
"A0A090I6I6",2.10869381698621,-1.68920424052664,1.81068132451418,-0.932910842817614,0.350866003566486,0.988190547661253
"A0A090I3I7",2.49359062955346,-0.189192997275071,1.78879130904496,-0.105765829875416,0.915768148490225,0.988190547661253
"A0A089ZGG9",4.73291206831231,-1.44207008526714,1.12842898917012,-1.27794491200344,0.201268850739445,0.988190547661253
"A0A090I2F4",4.41387876708606,-0.335468576659356,1.12347114238612,-0.298600083262362,0.765245201906748,0.988190547661253
"A0A090I2G3",18.5927110684199,-1.3628153922689,0.669576563588559,-2.0353391477219,0.0418167596975579,0.988190547661253
"A0A0S4FMQ4",3.46499578128315,-0.0506494159009735,1.15653046992715,-0.043794277122819,0.96506838890378,0.988190547661253
"A0A090I518",8.52589311927579,0.94347779559979,0.93078273713123,1.01363912109897,0.310754983198021,0.988190547661253
"A0A090I8S8",2.55293653328467,-0.862586111776031,1.79857767208543,-0.479593472755542,0.631516488547872,0.988190547661253
"A0A089ZCL2",0.936628083254588,-3.0054602378814,3.94487240789865,-0.761865005282222,0.446140577975693,0.988190547661253
"A0A089ZG23",3.82897971412457,0.38057126938624,1.13163945796796,0.336300812689598,0.736644037145192,0.988190547661253
"A0A090I7B6",7.84659019191342,-0.138973964964133,0.800398509651738,-0.17363096418633,0.862155495728478,0.988190547661253
"A0A090I672",4.91525201622563,0.0506670355998445,0.948626387889091,0.0534109489749596,0.957404481645653,0.988190547661253
"A0A090I4Y0",3.70319998689184,0.453113550625975,1.31799389351726,0.343790326233436,0.731003975847953,0.988190547661253
"A0A090I5G8",10.4840763191286,-0.0556705622650275,0.718886569262993,-0.0774399810002034,0.938273536020883,0.988190547661253
"A0A090I496",1.45425605272739,-1.36441196520566,2.52546467003036,-0.540261751192605,0.589016532144006,0.988190547661253
"K2QDP1",3.46164613613601,-0.655089013060013,1.12922304434698,-0.580123666745433,0.561831224895571,0.988190547661253
"A0A090I7S6",8.86350645590145,-1.6051894681648,1.58535234565565,-1.01251275311984,0.311292952112625,0.988190547661253
"A0A090I729",1.87514777077012,-1.55211741640794,2.36396663194668,-0.656573318520071,0.511455309651018,0.988190547661253
"A0A089ZDP0",2.19354965179381,-2.10905100578097,1.79361870780024,-1.17586363066406,0.239649374261519,0.988190547661253
"A0A089ZGF5",3.15712818125894,-1.39874762105827,1.35566330022905,-1.03178098929279,0.302174726977406,0.988190547661253
"A0A090I622",7.01353070574005,-0.101088078051229,0.848455519772023,-0.11914363887737,0.90516155812281,0.988190547661253
"A0A089ZV33",6.46162845234061,1.49582104956194,1.09371009618504,1.36765771366608,0.171419242037598,0.988190547661253
"A0A090I7U4",4.2164122820092,-0.412266450802451,1.18891715927597,-0.346757928074242,0.728773186750256,0.988190547661253
"A0A0S4FN62",2.35622381495768,-0.472888722285566,1.57300309438006,-0.300627966960192,0.763698202875709,0.988190547661253
"A0A089ZDA2",6.081659339371,0.256462759595583,2.20914799426135,0.116091253398047,0.907580220720895,0.988190547661253
"A0A090I938",8.64680183525015,0.635277172319384,0.828021841589052,0.76722272337675,0.442949104719471,0.988190547661253
"A0A090I560",2.64199015950044,-2.64859062031794,1.69145401869165,-1.56586616665267,0.117379952001836,0.988190547661253
"A0A090I340",3.20356900980406,-0.987807949977577,1.26343127397172,-0.781845415993466,0.434305426767838,0.988190547661253
"A0A090I8V0",3.69683263219665,0.396686749740961,1.70625420418896,0.232489829925148,0.816157585386412,0.988190547661253
"A0A090JWL2",8.64552037617256,0.0499897891015047,0.761713514487947,0.0656280716446389,0.947673939345188,0.988190547661253
"A0A089ZAY7",3.54128322323789,-3.0093234402656,1.45422588478095,-2.06936451328461,0.0385118939352429,0.988190547661253
"A0A089Z8Q6",7.74170362426479,-2.5560705979616,1.03419032514975,-2.47156692129322,0.0134522370721824,0.988190547661253
"A0A090I958",12.2583059177031,-0.933378423233446,0.840753496077447,-1.11016894676994,0.266926231390742,0.988190547661253
"A0A090I3Q7",6.46608908309971,-0.193199970833394,0.929765267817388,-0.207794351457038,0.835389543238959,0.988190547661253
"A0A090I0Z8",3.6903113918268,0.0856727281131926,1.39464984666667,0.0614295612034501,0.951017110372992,0.988190547661253
"A0A089ZF65",5.35442083306805,0.160675494954398,0.9223138377483,0.174209134004392,0.861701107405,0.988190547661253
"A0A090JVL3",1.6149964367873,-3.80093507292624,2.94958291065545,-1.28863476228969,0.197525092274439,0.988190547661253
"A0A090I904",5.49440130237134,-1.16771712228801,1.22376959645011,-0.954196873067699,0.339983997175369,0.988190547661253
"A0A089ZGS2",5.74850817983308,0.607479501988267,0.899435388904814,0.675400934277176,0.499421072089605,0.988190547661253
"A0A089ZBS5",5.32799937537442,-0.370668041212169,0.933523941121753,-0.397063240570737,0.691320826245698,0.988190547661253
"A0A090IB58",2.81590889938146,-2.55758999753711,1.7172647203909,-1.4893393937278,0.136398019173236,0.988190547661253
"A0A090I2K0",2.38251591956053,-1.62598712662688,1.52714676745811,-1.06472223971851,0.2870016428741,0.988190547661253
"A0A090JSP3",6.09147889611288,-0.426108715034535,0.891849944794754,-0.477780727039903,0.632806279996809,0.988190547661253
"A0A089ZC51",2.80486690517262,-1.44866144916929,1.39592400161968,-1.03777959794976,0.299372677299346,0.988190547661253
"A0A090JTC3",4.27293630242702,-1.85555496635388,1.21678383137713,-1.52496681703422,0.127267374472089,0.988190547661253
"A0A089ZGW2",3.41706635768663,-0.365937909654644,1.13893144715413,-0.321299328918365,0.747983564923032,0.988190547661253
"A0A090I3I6",11.4395634813106,0.550067626530067,0.862242503609439,0.637950024763829,0.523506212283336,0.988190547661253
"A0A090I731",1.9614216190095,-0.867130415043596,1.56222794786994,-0.55506010901028,0.578853546834456,0.988190547661253
"A0A089ZGF2",6.36504216729172,-1.72780072214129,0.962772662656161,-1.79460924594028,0.0727159789932569,0.988190547661253
"A0A089ZGZ1",6.24439615690555,-0.170970387088146,0.936866098649698,-0.182491806816967,0.855196783613493,0.988190547661253
"A0A090JTB4",2.2698852901729,-2.43428640841494,1.78869063079195,-1.36093205080252,0.173535163708041,0.988190547661253
"A0A089ZA17",1.34654156292842,-2.41846796471805,2.10157998475213,-1.15078559096731,0.249820454076811,0.988190547661253
"A0A090I443",4.17100907589579,0.856657598654503,1.43517147610944,0.596902609141027,0.550572405201769,0.988190547661253
"A0A090JYU9",2.58268550990681,-2.37948494568912,1.73288586556284,-1.37313425712331,0.169710613007549,0.988190547661253
"A0A090I6T0",5.54277818233458,0.895665411455304,0.938942767588852,0.953908419525205,0.340130001240233,0.988190547661253
"A0A089ZHN5",2.62648311482973,-0.925571166502974,1.38532571118261,-0.668125307306137,0.504053608703102,0.988190547661253
"A0A089ZEW4",2.26574289645248,-1.54681045832608,1.52837136298241,-1.01206453862606,0.311507196293118,0.988190547661253
"K2QX04",1.89719155096957,-4.00587963011437,2.99319900367845,-1.3383271961508,0.180789800105027,0.988190547661253
"A0A090JW43",3.64149976909508,-0.917016982095263,1.66772884281787,-0.549859760502692,0.582415565833733,0.988190547661253
"A0A090I6K9",5.17655195719793,-0.590453878293448,0.968702544409318,-0.609530636314667,0.542172772354784,0.988190547661253
"A0A089ZV28",3.44070718620446,-0.940472722968663,1.16594702995084,-0.806617023595242,0.419887162787268,0.988190547661253
"A0A090I6D3",2.80612359023368,-0.814920732646939,1.42743167265192,-0.57089999350579,0.568067435360609,0.988190547661253
